,Canton,Nombre total de musées,Musées avec accessibilité complète,% accessibilité,Population,Musées pour 100'000 habitants
0,Aargau,56,19,33.9,685845,8.17
1,Appenzell Ausserrhoden,9,5,55.6,55445,16.23
2,Appenzell Innerrhoden,3,2,66.7,16128,18.6
3,Basel-Landschaft,18,3,16.7,289468,6.22
4,Basel-Stadt,25,14,56.0,195844,12.77
5,Bern,76,26,34.2,1039474,7.31
6,Freiburg,22,11,50.0,321783,6.84
7,Genève,27,14,51.9,504128,5.36
8,Glarus,4,2,50.0,40590,9.85
9,Graubünden,37,8,21.6,199021,18.59
10,Jura,8,1,12.5,73584,10.87
11,Luzern,31,15,48.4,413120,7.5
12,Neuchâtel,28,11,39.3,176496,15.86
13,Nidwalden,4,2,50.0,43087,9.28
14,Obwalden,4,0,0.0,37930,10.55
15,Schaffhausen,8,0,0.0,82348,9.71
16,Schwyz,14,6,42.9,160480,8.72
17,Solothurn,27,11,40.7,275247,9.81
18,St. Gallen,40,13,32.5,510734,7.83
19,Thurgau,25,6,24.0,279547,8.94
20,Ticino,39,13,33.3,351491,11.1
21,Uri,5,1,20.0,36703,13.62
22,Valais,37,6,16.2,345525,10.71
23,Vaud,72,25,34.7,805098,8.94
24,Zug,6,3,50.0,127642,4.7
25,Zürich,120,45,37.5,1539275,7.8
